Divison Name: Individual Patterns - 35+ Female 7th-5th Gup
Division Type: Round Robin
Ring Number: Ring 1
Division Size: 5

Isabella Jackson | Australia
Ava Kelly | France


Caroline Smith | Denmark
Chloe Thompson | London ITF


Ava Kelly | France
Chloe Thompson | London ITF


Amelia Patel | Halifax TKD
Caroline Smith | Denmark


Isabella Jackson | Australia
Chloe Thompson | London ITF


Ava Kelly | France
Amelia Patel | Halifax TKD


Isabella Jackson | Australia
Caroline Smith | Denmark


Chloe Thompson | London ITF
Amelia Patel | Halifax TKD


Isabella Jackson | Australia
Amelia Patel | Halifax TKD


Caroline Smith | Denmark
Ava Kelly | France
